intern_id,intern_name,task_completion_rate,avg_task_completion_time,attendance_percentage,feedback_rating,deadlines_missed,github_commits,communication_score,learning_speed,meeting_participation,work_hours_per_day,stress_level,final_performance_score,performance_category
220,Maria Jones,100,1.96,66,2.0,0,88,5,3,9,5.0,9,51.96,Needs Improvement
221,Brooke Stewart,43,1.9,77,4.4,8,124,6,9,8,3.9,7,51.53,Needs Improvement
222,Brian Miller,87,1.49,84,2.1,1,254,5,5,4,4.2,1,70.66,Average
223,Jesse Sharp,92,2.31,58,3.7,0,215,1,8,7,6.3,6,76.57,Average
224,Justin Roman,80,5.77,78,1.7,4,37,4,9,3,4.4,7,38.02,Needs Improvement
225,Eric Williams,67,2.46,71,4.1,2,193,8,2,7,11.8,8,68.08,Average
226,Thomas Hale,64,1.04,61,3.4,10,135,3,10,1,6.5,1,50.71,Needs Improvement
227,Jason Brooks,74,3.75,84,2.8,3,176,6,1,1,4.2,4,49.1,Needs Improvement
228,Tara Hernandez,60,7.14,91,2.2,8,264,8,5,1,8.2,8,38.23,Needs Improvement
229,Gina Marshall,60,5.83,88,3.3,6,191,3,1,8,6.2,8,41.16,Needs Improvement
230,Luke Orr,51,10.44,82,4.3,6,249,5,8,9,8.4,7,53.33,Needs Improvement
231,Andrew Jenkins,69,4.61,72,1.2,3,145,2,4,1,6.6,2,46.04,Needs Improvement
232,Tony Smith,79,11.52,82,2.6,2,142,9,7,2,8.7,9,46.81,Needs Improvement
233,Sarah Huff,49,6.07,60,3.4,1,50,6,9,9,3.5,3,47.35,Needs Improvement
234,Colleen Perry,41,8.42,52,3.1,7,257,1,9,3,6.5,7,30.79,Needs Improvement
235,Melissa Cline,84,6.59,86,1.5,0,126,9,7,8,8.5,5,64.78,Average
236,Jose Gonzalez,74,2.09,58,2.2,9,29,2,3,3,10.6,9,41.81,Needs Improvement
237,Jimmy Sims,62,5.46,97,1.0,10,117,4,1,8,5.7,8,25.25,Needs Improvement
238,Emily Bentley,76,13.46,50,4.8,2,156,10,2,3,5.4,1,46.86,Needs Improvement
239,Amber Gonzalez,88,10.48,54,3.1,3,203,6,1,4,3.7,2,41.28,Needs Improvement
240,Emily Sellers,98,8.45,94,2.5,10,233,3,2,6,9.6,5,48.02,Needs Improvement
241,James Smith,69,2.82,86,4.8,4,34,7,6,4,11.9,9,67.32,Average
242,Ashlee Baker,84,14.59,71,3.2,4,161,6,5,7,6.4,10,38.02,Needs Improvement
243,Charles Huffman,73,4.63,100,1.7,4,20,7,4,3,3.7,8,36.06,Needs Improvement
244,Joshua Erickson,100,14.91,67,3.5,8,151,10,3,5,9.3,8,43.99,Needs Improvement
245,Jamie Mason,67,12.94,86,3.2,2,63,5,2,6,7.3,6,42.58,Needs Improvement
246,Paula Lara,67,1.81,69,2.9,9,11,6,1,3,6.6,4,35.54,Needs Improvement
247,Cindy Lewis,71,7.89,85,2.1,0,215,7,9,3,7.8,3,66.55,Average
248,Robert Freeman,67,12.59,96,3.3,2,47,9,8,4,2.0,1,54.11,Needs Improvement
249,Rachel Edwards,88,5.18,57,1.2,5,12,7,2,6,8.9,3,42.27,Needs Improvement
250,Tracy Collier,60,6.02,51,2.3,2,183,9,3,3,4.0,10,36.01,Needs Improvement
251,Kathleen Baker,88,2.26,79,1.1,0,291,9,5,1,2.7,8,57.31,Needs Improvement
252,James Moss,74,9.59,89,2.6,1,259,6,3,8,3.1,2,55.87,Needs Improvement
253,Sarah Dennis,84,14.37,87,2.2,7,144,7,2,10,4.4,6,22.21,Needs Improvement
254,Ronnie Moyer,99,13.09,52,4.2,7,54,6,7,5,10.4,1,51.1,Needs Improvement
255,Paul Johnson,80,4.07,62,3.4,4,274,9,9,6,3.9,7,44.23,Needs Improvement
256,Rodney Sherman,49,12.5,69,3.7,1,52,8,6,4,3.4,7,35.05,Needs Improvement
257,Jessica Mendoza,47,4.8,80,2.1,1,247,2,9,1,5.2,1,52.45,Needs Improvement
258,Matthew Harmon,71,9.31,66,1.3,1,263,9,6,5,11.4,9,55.83,Needs Improvement
259,Denise Stewart,40,2.82,58,4.4,3,99,2,3,3,11.1,8,48.64,Needs Improvement
260,Christian Weber,72,14.02,74,3.8,9,174,7,5,5,10.8,5,53.28,Needs Improvement
261,Samantha Jones,72,4.9,60,4.8,8,93,9,5,4,9.8,5,56.35,Needs Improvement
262,Amber Kelley,87,6.39,90,2.9,1,255,3,9,7,9.7,2,77.91,Average
263,Rebecca Brooks,76,12.51,80,3.9,8,165,6,8,6,4.2,7,28.47,Needs Improvement
264,Brandi Schroeder,63,14.03,85,4.0,5,148,8,6,6,7.8,5,51.83,Needs Improvement
265,Hannah Roberts,99,1.6,62,1.2,5,53,10,5,5,8.9,5,60.0,Average
266,Mark Durham,74,7.9,96,2.3,5,23,9,4,10,7.2,6,49.63,Needs Improvement
267,Benjamin Robertson Jr.,40,5.37,77,2.1,0,103,10,6,5,2.8,9,38.01,Needs Improvement
268,Adam Ford,71,5.65,74,4.1,9,6,4,9,5,8.5,7,41.81,Needs Improvement
269,Robin Ortiz,75,12.86,58,3.2,7,224,7,9,8,6.6,6,43.09,Needs Improvement
270,Ashley Johnson,73,7.78,64,1.2,9,3,10,8,9,4.4,8,26.33,Needs Improvement
271,Pamela Barrett DDS,71,10.11,60,4.9,5,232,1,10,7,3.4,10,35.92,Needs Improvement
272,Tammy Armstrong,58,3.06,57,3.5,10,48,4,6,8,9.2,9,40.13,Needs Improvement
273,Adam Mckenzie,86,1.85,95,1.2,0,4,4,4,9,6.5,6,50.71,Needs Improvement
274,Taylor Boyd,73,4.39,70,4.8,5,293,6,2,10,3.8,3,57.14,Needs Improvement
275,Ryan Thomas,69,13.1,57,1.8,10,107,1,1,2,10.5,6,16.2,Needs Improvement
276,Tanya Cline,99,14.93,75,3.1,10,88,2,3,7,2.7,6,13.49,Needs Improvement
277,Kayla Gonzales,57,14.74,53,4.3,10,124,2,1,5,11.5,2,26.37,Needs Improvement
278,Frank Martin MD,47,11.82,85,2.0,0,38,1,4,8,9.6,6,41.93,Needs Improvement
